tech,method,total_lines,total_positives_gt,method_tp_coverage,f1_at_k_at_0.5pct,f1_at_k_at_1.0pct,f1_at_k_at_2.0pct,f1_at_k_at_5.0pct,f1_at_k_at_10.0pct,precision_at_k_at_0.5pct,precision_at_k_at_1.0pct,precision_at_k_at_2.0pct,precision_at_k_at_5.0pct,precision_at_k_at_10.0pct,recall_at_k_at_0.5pct,recall_at_k_at_1.0pct,recall_at_k_at_2.0pct,recall_at_k_at_5.0pct,recall_at_k_at_10.0pct,effort_percent_at_60pct,effort_percent_at_80pct,effort_percent_at_90pct,reached_at_60pct,reached_at_80pct,reached_at_90pct
ansible,anthropic__claude-sonnet-4-20250514__definition_based,3760,44,36,0.5079365079365079,0.8292682926829269,0.6,0.3103448275862068,0.1714285714285714,0.8421052631578947,0.8947368421052632,0.4736842105263157,0.1914893617021276,0.0957446808510638,0.3636363636363636,0.7727272727272727,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.824468085106383,1.303191489361702,100.0,True,True,False
ansible,anthropic__claude-sonnet-4-20250514__static_analysis_rules,3760,44,33,0.5079365079365079,0.6585365853658537,0.5500000000000002,0.2844827586206897,0.1571428571428571,0.8421052631578947,0.7105263157894737,0.4342105263157895,0.175531914893617,0.0877659574468085,0.3636363636363636,0.6136363636363636,0.75,0.75,0.75,0.9840425531914894,100.0,100.0,True,False,False
ansible,glitch,3760,44,38,0.4761904761904762,0.7073170731707317,0.6333333333333333,0.3275862068965517,0.1809523809523809,0.7894736842105263,0.7631578947368421,0.5,0.202127659574468,0.101063829787234,0.3409090909090909,0.6590909090909091,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9574468085106383,1.2765957446808511,100.0,True,True,False
ansible,intellisa,3760,44,35,0.5714285714285715,0.8536585365853658,0.5833333333333334,0.3017241379310345,0.1666666666666666,0.9473684210526316,0.9210526315789472,0.4605263157894737,0.1861702127659574,0.0930851063829787,0.4090909090909091,0.7954545454545454,0.7954545454545454,0.7954545454545454,0.7954545454545454,0.7446808510638298,100.0,100.0,True,False,False
ansible,openai__gpt-5-2025-08-07__definition_based,3760,44,18,0.5396825396825397,0.4390243902439024,0.3,0.1551724137931034,0.0857142857142857,0.8947368421052632,0.4736842105263157,0.2368421052631578,0.0957446808510638,0.0478723404255319,0.3863636363636363,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,100.0,100.0,100.0,False,False,False
ansible,openai__gpt-5-2025-08-07__static_analysis_rules,3760,44,35,0.4761904761904762,0.7317073170731707,0.5833333333333334,0.3017241379310345,0.1666666666666666,0.7894736842105263,0.7894736842105263,0.4605263157894737,0.1861702127659574,0.0930851063829787,0.3409090909090909,0.6818181818181818,0.7954545454545454,0.7954545454545454,0.7954545454545454,0.9308510638297872,100.0,100.0,True,False,False
ansible,openrouter__x-ai_grok-4-fast__definition_based,3760,44,28,0.5396825396825397,0.6829268292682926,0.4666666666666667,0.2413793103448275,0.1333333333333333,0.8947368421052632,0.7368421052631579,0.3684210526315789,0.1489361702127659,0.0744680851063829,0.3863636363636363,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7978723404255319,100.0,100.0,True,False,False
ansible,openrouter__x-ai_grok-4-fast__static_analysis_rules,3760,44,37,0.5714285714285715,0.8536585365853658,0.6166666666666667,0.3189655172413793,0.1761904761904762,0.9473684210526316,0.9210526315789472,0.4868421052631579,0.1968085106382978,0.0984042553191489,0.4090909090909091,0.7954545454545454,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.7712765957446809,1.0372340425531914,100.0,True,True,False
ansible,slac_slic,3760,44,24,0.3492063492063492,0.4390243902439024,0.3999999999999999,0.2068965517241379,0.1142857142857142,0.5789473684210527,0.4736842105263157,0.3157894736842105,0.1276595744680851,0.0638297872340425,0.25,0.4090909090909091,0.5454545454545454,0.5454545454545454,0.5454545454545454,100.0,100.0,100.0,False,False,False
chef,anthropic__claude-sonnet-4-20250514__definition_based,4090,104,51,0.208,0.4275862068965517,0.5483870967741936,0.3300970873786407,0.1988304093567251,0.6190476190476191,0.7560975609756098,0.6219512195121951,0.248780487804878,0.1246943765281173,0.125,0.2980769230769231,0.4903846153846153,0.4903846153846153,0.4903846153846153,100.0,100.0,100.0,False,False,False
chef,anthropic__claude-sonnet-4-20250514__static_analysis_rules,4090,104,62,0.2399999999999999,0.4689655172413792,0.5376344086021505,0.401294498381877,0.2417153996101364,0.7142857142857143,0.8292682926829268,0.6097560975609756,0.3024390243902439,0.1515892420537897,0.1442307692307692,0.3269230769230769,0.4807692307692308,0.5961538461538461,0.5961538461538461,100.0,100.0,100.0,False,False,False
chef,glitch,4090,104,64,0.192,0.3586206896551724,0.5376344086021505,0.4142394822006472,0.2495126705653021,0.5714285714285714,0.6341463414634146,0.6097560975609756,0.3121951219512195,0.1564792176039119,0.1153846153846153,0.25,0.4807692307692308,0.6153846153846154,0.6153846153846154,2.567237163814181,100.0,100.0,True,False,False
chef,intellisa,4090,104,70,0.32,0.5517241379310346,0.7526881720430108,0.4530744336569579,0.2729044834307992,0.9523809523809524,0.975609756097561,0.8536585365853658,0.3414634146341463,0.1711491442542787,0.1923076923076923,0.3846153846153846,0.6730769230769231,0.6730769230769231,0.6730769230769231,1.662591687041565,100.0,100.0,True,False,False
chef,openai__gpt-5-2025-08-07__definition_based,4090,104,36,0.208,0.3586206896551724,0.3870967741935483,0.233009708737864,0.1403508771929824,0.6190476190476191,0.6341463414634146,0.4390243902439024,0.1756097560975609,0.0880195599022004,0.125,0.25,0.3461538461538461,0.3461538461538461,0.3461538461538461,100.0,100.0,100.0,False,False,False
chef,openai__gpt-5-2025-08-07__static_analysis_rules,4090,104,52,0.208,0.3310344827586207,0.4623655913978494,0.3365695792880259,0.2027290448343079,0.6190476190476191,0.5853658536585366,0.524390243902439,0.2536585365853658,0.1271393643031785,0.125,0.2307692307692307,0.4134615384615384,0.5,0.5,100.0,100.0,100.0,False,False,False
chef,openrouter__x-ai_grok-4-fast__definition_based,4090,104,60,0.2239999999999999,0.4137931034482758,0.5806451612903226,0.3883495145631068,0.2339181286549707,0.6666666666666666,0.7317073170731707,0.6585365853658537,0.2926829268292683,0.1466992665036675,0.1346153846153846,0.2884615384615384,0.5192307692307693,0.5769230769230769,0.5769230769230769,100.0,100.0,100.0,False,False,False
chef,openrouter__x-ai_grok-4-fast__static_analysis_rules,4090,104,63,0.2399999999999999,0.3999999999999999,0.6344086021505376,0.4077669902912621,0.2456140350877192,0.7142857142857143,0.7073170731707317,0.7195121951219512,0.3073170731707317,0.1540342298288508,0.1442307692307692,0.2788461538461538,0.5673076923076923,0.6057692307692307,0.6057692307692307,2.15158924205379,100.0,100.0,True,False,False
chef,slac_slic,4090,104,38,0.144,0.2620689655172414,0.3548387096774194,0.2459546925566343,0.1481481481481481,0.4285714285714285,0.4634146341463415,0.4024390243902439,0.1853658536585365,0.0929095354523227,0.0865384615384615,0.1826923076923076,0.3173076923076923,0.3653846153846153,0.3653846153846153,100.0,100.0,100.0,False,False,False
puppet,anthropic__claude-sonnet-4-20250514__definition_based,3964,65,49,0.3294117647058823,0.5333333333333333,0.6758620689655173,0.3712121212121212,0.2121212121212121,0.7,0.7,0.6125,0.2462311557788944,0.1234256926952141,0.2153846153846154,0.4307692307692308,0.7538461538461538,0.7538461538461538,0.7538461538461538,1.3370332996972756,100.0,100.0,True,False,False
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,3964,65,40,0.3294117647058823,0.6095238095238096,0.5517241379310345,0.303030303030303,0.1731601731601731,0.7,0.8,0.5,0.2010050251256281,0.1007556675062972,0.2153846153846154,0.4923076923076923,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.286579212916246,100.0,100.0,True,False,False
puppet,glitch,3964,65,52,0.188235294117647,0.3428571428571428,0.4413793103448276,0.393939393939394,0.2251082251082251,0.4,0.45,0.4,0.2613065326633166,0.1309823677581864,0.123076923076923,0.2769230769230769,0.4923076923076923,0.8,0.8,2.39656912209889,3.0524722502522703,100.0,True,True,False
puppet,intellisa,3964,65,54,0.4,0.6476190476190476,0.7448275862068966,0.4090909090909091,0.2337662337662337,0.85,0.85,0.675,0.271356783919598,0.1360201511335012,0.2615384615384615,0.5230769230769231,0.8307692307692308,0.8307692307692308,0.8307692307692308,1.1352169525731584,1.5388496468213926,100.0,True,True,False
puppet,openai__gpt-5-2025-08-07__definition_based,3964,65,35,0.2588235294117647,0.4761904761904762,0.4827586206896552,0.2651515151515152,0.1515151515151515,0.55,0.625,0.4375,0.1758793969849246,0.08816120906801,0.1692307692307692,0.3846153846153846,0.5384615384615384,0.5384615384615384,0.5384615384615384,100.0,100.0,100.0,False,False,False
puppet,openai__gpt-5-2025-08-07__static_analysis_rules,3964,65,40,0.2352941176470588,0.4,0.5517241379310345,0.303030303030303,0.1731601731601731,0.5,0.525,0.5,0.2010050251256281,0.1007556675062972,0.1538461538461538,0.3230769230769231,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.715438950554995,100.0,100.0,True,False,False
puppet,openrouter__x-ai_grok-4-fast__definition_based,3964,65,47,0.3294117647058823,0.5714285714285714,0.6482758620689656,0.356060606060606,0.2034632034632034,0.7,0.75,0.5875,0.236180904522613,0.1183879093198992,0.2153846153846154,0.4615384615384615,0.7230769230769231,0.7230769230769231,0.7230769230769231,1.2361251261352169,100.0,100.0,True,False,False
puppet,openrouter__x-ai_grok-4-fast__static_analysis_rules,3964,65,52,0.3529411764705882,0.6095238095238096,0.7172413793103448,0.393939393939394,0.2251082251082251,0.75,0.8,0.65,0.2613065326633166,0.1309823677581864,0.2307692307692307,0.4923076923076923,0.8,0.8,0.8,1.1856710393541876,1.7406659939455096,100.0,True,True,False
puppet,slac_slic,3964,65,33,0.1647058823529411,0.2476190476190476,0.2758620689655172,0.25,0.1428571428571428,0.35,0.325,0.25,0.1658291457286432,0.0831234256926952,0.1076923076923077,0.2,0.3076923076923077,0.5076923076923077,0.5076923076923077,100.0,100.0,100.0,False,False,False
