Method,Occurrences,TP,FP,FN,Precision,Recall,F1,Overlap,FileAcc
GLITCH,146,61,85,4,0.418,0.938,0.578,0.407,0.964
SLAC/SLIC,120,33,87,32,0.275,0.508,0.357,0.217,0.929
claude-sonnet-4.0-static-analysis-rules,80,40,40,25,0.500,0.615,0.552,0.381,0.893
claude-sonnet-4.0-definition-based,77,48,29,17,0.623,0.738,0.676,0.511,0.929
grok-4-fast-static-analysis-rules,71,51,20,14,0.718,0.785,0.750,0.600,0.821
grok-4-fast-definition-based,72,48,24,17,0.667,0.738,0.701,0.539,0.714
gpt-5-static-analysis-rules,83,45,38,20,0.542,0.692,0.608,0.437,0.714
gpt-5-2025-08-07-definition-based,59,35,24,30,0.593,0.538,0.565,0.393,0.786
IntelliSA,65,55,10,10,0.846,0.846,0.846,0.733,0.857
